t_s,imu_roll_deg,imu_pitch_deg,motor_roll_pos_deg,motor_pitch_pos_deg
4.540,15.9352,50.8692,0.00,-1002.86
4.560,15.7277,50.8263,0.00,-1002.86
4.580,15.7277,50.8263,0.00,-1002.86
4.600,15.5498,50.6828,0.00,-1002.86
4.620,15.5498,50.6828,0.00,-1002.86
4.640,15.5498,50.6828,0.00,-1002.86
4.660,15.3962,50.4509,0.00,-1002.86
4.680,15.3962,50.4509,0.00,-1002.86
4.700,15.2031,50.1732,0.00,-1002.86
4.720,15.2031,50.1732,0.00,-1002.86
4.740,15.2031,50.1732,0.00,-1002.86
4.760,14.9516,49.7988,0.00,-1002.86
4.780,14.9516,49.7988,0.00,-1002.86
4.800,14.7337,49.4260,0.00,-1002.86
4.820,14.7337,49.4260,0.00,-1002.86
4.840,14.7337,49.4260,0.00,-1002.86
4.860,14.5676,49.1356,0.00,-1002.86
4.880,14.5676,49.1356,0.00,-1002.86
4.900,14.4762,48.9425,0.00,-1002.86
4.920,14.4762,48.9425,0.00,-1002.86
4.940,14.4762,48.9425,0.00,-1002.86
4.960,14.3960,48.8530,0.00,-1002.86
4.980,14.3960,48.8530,0.00,-1002.86
5.000,14.3311,48.7825,0.00,-1002.86
5.020,14.3311,48.7825,0.00,-1002.86
5.040,14.3311,48.7825,0.00,-1002.86
5.060,14.2653,48.7172,0.00,-1002.86
5.080,14.2653,48.7172,0.00,-1002.86
5.100,14.2484,48.7137,0.00,-1002.86
5.120,14.2484,48.7137,0.00,-1002.86
5.140,14.2484,48.7137,0.00,-1002.86
5.160,14.2366,48.7321,0.00,-1002.86
5.180,14.2366,48.7321,0.00,-1002.86
5.200,14.2031,48.7384,0.00,-1002.86
5.220,14.2031,48.7384,0.00,-1002.86
5.240,14.2031,48.7384,0.00,-1002.86
5.260,14.1702,48.7300,0.00,-1002.86
5.280,14.1702,48.7300,0.00,-1002.86
5.300,14.1561,48.7301,0.00,-1002.86
5.320,14.1561,48.7301,0.00,-1002.86
5.340,14.1561,48.7301,0.00,-1002.86
5.360,14.1561,48.7301,0.00,-1002.86
5.380,14.1561,48.7301,0.00,-1002.86
5.400,14.1375,48.7223,0.00,-1002.86
5.420,14.1375,48.7223,0.00,-1002.86
5.440,14.1375,48.7223,0.00,-1002.86
5.460,14.0892,48.7185,0.00,-1002.86
5.480,14.0892,48.7185,0.00,-1002.86
5.500,14.0763,48.7133,0.00,-1002.86
5.520,14.0763,48.7133,0.00,-1002.86
5.540,14.0763,48.7133,0.00,-1002.86
